Data da refeição,Salada,Frango,Arroz,Feijão,Farrofa,Sobremesa,Vegetariano
02/07/2024 terça-feira,ÓTIMO,BOM,BOM,BOM,ÓTIMO,BOM,ÓTIMO
02/07/2024 terça-feira,BOM,REGULAR,BOM,NÃO CONSUMI,BOM,BOM,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,REGULAR
02/07/2024 terça-feira,ÓTIMO,NÃO CONSUMI,RUIM,NÃO CONSUMI,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,REGULAR,ÓTIMO,BOM,BOM,ÓTIMO,BOM,NÃO CONSUMI
02/07/2024 terça-feira,REGULAR,BOM,BOM,BOM,BOM,RUIM,REGULAR
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,REGULAR,REGULAR,REGULAR
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,BOM,BOM,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,RUIM,RUIM,ÓTIMO,BOM,NÃO CONSUMI,RUIM,RUIM
02/07/2024 terça-feira,ÓTIMO,ÓTIMO,ÓTIMO,BOM,ÓTIMO,NÃO CONSUMI,NÃO CONSUMI
02/07/2024 terça-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,REGULAR,RUIM,BOM,BOM,BOM,BOM,BOM
02/07/2024 terça-feira,REGULAR,BOM,BOM,ÓTIMO,BOM,REGULAR,NÃO CONSUMI
02/07/2024 terça-feira,ÓTIMO,BOM,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
02/07/2024 terça-feira,BOM,REGULAR,BOM,BOM,BOM,BOM,BOM
