Data da refeição,Salada,Carne,Arroz,Feijão,Farofa,Sobremesa,Vegetariano
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
27/06/2024 quinta-feira,REGULAR,BOM,BOM,BOM,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,REGULAR,BOM,BOM,BOM,BOM,REGULAR,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,BOM,BOM,REGULAR,BOM,BOM,REGULAR
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,REGULAR,BOM,BOM,BOM,BOM,REGULAR
27/06/2024 quinta-feira,ÓTIMO,BOM,BOM,BOM,NÃO CONSUMI,BOM,NÃO CONSUMI
27/06/2024 quinta-feira,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO,ÓTIMO
27/06/2024 quinta-feira,NÃO CONSUMI,BOM,BOM,BOM,NÃO CONSUMI,NÃO CONSUMI,NÃO CONSUMI
27/06/2024 quinta-feira,BOM,RUIM,REGULAR,BOM,REGULAR,REGULAR,REGULAR
27/06/2024 quinta-feira,BOM,BOM,REGULAR,REGULAR,BOM,BOM,BOM
27/06/2024 quinta-feira,BOM,BOM,BOM,BOM,BOM,BOM,BOM
